id,related_record_id,location_name,evidence_role,capture_date,published_at,source_page_url,direct_media_url,credit,rights_status,display_ready,coordinates,technical_verification,notes
AV-M-011,AV-GH-ACC-20260629,Afienya,incident_context,2026-06-29,2026-06-29,https://www.myjoyonline.com/photos-heavy-flooding-leaves-parts-of-afienya-submerged/,https://www.myjoyonline.com/wp-content/uploads/2026/06/image-3644-1024x576.png,MyJoyOnline / Albert Kuzor,permission_not_verified,False,,"{""content_type"": ""image/png"", ""http_status"": 200, ""width"": 1024, ""height"": 576, ""sha256"": ""d466067432041217112b3c88da54a0e2190ce9b656728261efa9c7f6365ee5b1"", ""bytes"": 581233, ""image_decoded"": true, ""dhash"": ""931236b68ebabcfa""}",Location supported at article level; exact viewpoint not established. Cropped/resized copies must be deduplicated before gallery display.
AV-M-012,AV-GH-ACC-20260629,Afienya,incident_context,2026-06-29,2026-06-29,https://www.myjoyonline.com/photos-heavy-flooding-leaves-parts-of-afienya-submerged/,https://www.myjoyonline.com/wp-content/uploads/2026/06/image-3643-1024x576.png,MyJoyOnline / Albert Kuzor,permission_not_verified,False,,"{""content_type"": ""image/png"", ""http_status"": 200, ""width"": 1024, ""height"": 576, ""sha256"": ""e4ae7923f0262a9b215db0ebad317ce0a4bfe721121eea1aa8d4cf7d9531f7d3"", ""bytes"": 421548, ""image_decoded"": true, ""dhash"": ""e0c4d4d38b2a66c6""}",Location supported at article level; exact viewpoint not established. Cropped/resized copies must be deduplicated before gallery display.
AV-M-013,AV-GH-ACC-20260629,Afienya,incident_context,2026-06-29,2026-06-29,https://www.myjoyonline.com/photos-heavy-flooding-leaves-parts-of-afienya-submerged/,https://www.myjoyonline.com/wp-content/uploads/2026/06/image-3642-1024x576.png,MyJoyOnline / Albert Kuzor,permission_not_verified,False,,"{""content_type"": ""image/png"", ""http_status"": 200, ""width"": 1024, ""height"": 576, ""sha256"": ""b83cda02d3b480467a9b2d9c961d29bda97b8d701632a5650739b7e9ef3c05bd"", ""bytes"": 529566, ""image_decoded"": true, ""dhash"": ""2ffafafaf8f1e3d9""}",Location supported at article level; exact viewpoint not established. Cropped/resized copies must be deduplicated before gallery display.
AV-M-014,AV-GH-ACC-20260629,Tse Addo,incident_context,,2026-06-29,https://www.myjoyonline.com/floods-engulf-tse-addo-communities-as-residents-call-for-urgent-intervention/,https://www.myjoyonline.com/wp-content/uploads/2026/06/accraflood6.jpg,MyJoyOnline / David Apinga,permission_not_verified,False,,"{""content_type"": ""image/jpeg"", ""http_status"": 200, ""width"": 580, ""height"": 435, ""sha256"": ""25f8dadb0236c315245cfc9e478ec6836f63349fff7b89e883c16f31e0aaa7d4"", ""bytes"": 148699, ""image_decoded"": true, ""dhash"": ""6b78767232c4c2c1""}","Article supports locality, but uncaptioned lead image could be broader Accra; review before exact-locality display."
AV-M-015,AV-GH-TOT-20260629,"Totopey, Ada East",aftermath,,2026-08-19,https://www.citinewsroom.com/2026/08/totopey-residents-remain-displaced-seven-weeks-after-floods/,https://www.citinewsroom.com/wp-content/uploads/2026/08/TM067-Social-Totopey-Flood-Pic-3.jpg,GNA via Citi Newsroom,permission_not_verified,False,,"{""content_type"": ""image/jpeg"", ""http_status"": 200, ""width"": 1280, ""height"": 956, ""sha256"": ""3e9f68f227fa7dd4afd80a7c301b8b483b577d4c6769f0d4a5c8ede8439448a4"", ""bytes"": 195099, ""image_decoded"": true, ""dhash"": ""070e9e8cce4e64f0""}",Location supported at article level; exact viewpoint not established. Cropped/resized copies must be deduplicated before gallery display. Resident photographed with floodwater nearby; not an aerial inundation extent. Resident photographed with floodwater nearby; not an aerial inundation extent.
AV-M-016,AV-GH-TOT-20260629,"Totopey, Ada East",aftermath,,2026-08-19,https://www.citinewsroom.com/2026/08/totopey-residents-remain-displaced-seven-weeks-after-floods/,https://www.citinewsroom.com/wp-content/uploads/2026/08/TM067-Social-Totopey-Flood-Pic-1.jpg,GNA via Citi Newsroom,permission_not_verified,False,,"{""content_type"": ""image/jpeg"", ""http_status"": 200, ""width"": 720, ""height"": 698, ""sha256"": ""2bc82ba702605d62148c35bf221dd2c11441422286de44c9b91d2b05978dbe7c"", ""bytes"": 61282, ""image_decoded"": true, ""dhash"": ""c0e8cd459dbdb911""}",Location supported at article level; exact viewpoint not established. Cropped/resized copies must be deduplicated before gallery display.
AV-M-017,AV-GH-TOT-20260629,"Totopey, Ada East",aftermath,,2026-08-19,https://www.citinewsroom.com/2026/08/totopey-residents-remain-displaced-seven-weeks-after-floods/,https://www.citinewsroom.com/wp-content/uploads/2026/08/TM067-Social-Totopey-Flood-Pic-2.jpg,GNA via Citi Newsroom,permission_not_verified,False,,"{""content_type"": ""image/jpeg"", ""http_status"": 200, ""width"": 720, ""height"": 598, ""sha256"": ""dee86c82e7b504da87ce86fa34d487ea57b9a1c7fef080796156870b4e57c3e3"", ""bytes"": 40811, ""image_decoded"": true, ""dhash"": ""e6e0e4727273e080""}",
AV-M-018,AV-GH-ANLO-2026,Anlo Afiadenyigba,aftermath,,2026-07-12,https://www.citinewsroom.com/2026/07/anlo-afiadenyigba-residents-raise-alarm-over-disease-risk-after-floods/,https://www.citinewsroom.com/wp-content/uploads/2026/07/anlo-3.jpeg,Citi Newsroom / Desmond Selase Aggor,permission_not_verified,False,,"{""content_type"": ""image/jpeg"", ""http_status"": 200, ""width"": 1242, ""height"": 689, ""sha256"": ""44016f7781649ab7946e106a53f13c42f074f1ee916dfc968aced364345eb309"", ""bytes"": 163990, ""image_decoded"": true, ""dhash"": ""f9e1e93d79bb76ec""}",Location supported at article level; exact viewpoint not established. Cropped/resized copies must be deduplicated before gallery display. Standing water around a structure; street coordinates unknown. Standing water around a structure; street coordinates unknown.
AV-M-019,AV-GH-ANLO-2026,Anlo Afiadenyigba,aftermath,,2026-07-12,https://www.citinewsroom.com/2026/07/anlo-afiadenyigba-residents-raise-alarm-over-disease-risk-after-floods/,https://www.citinewsroom.com/wp-content/uploads/2026/07/anlo-4.jpeg,Citi Newsroom / Desmond Selase Aggor,permission_not_verified,False,,"{""content_type"": ""image/jpeg"", ""http_status"": 200, ""width"": 1242, ""height"": 702, ""sha256"": ""57bba5a884f3b0a409ddd0bc6df104646c1a33b7140e4d2a6f1c168fd6e6daf4"", ""bytes"": 120503, ""image_decoded"": true, ""dhash"": ""e3c1c060604c6dea""}",Location supported at article level; exact viewpoint not established. Cropped/resized copies must be deduplicated before gallery display.
AV-M-020,AV-GH-ANLO-2026,Anlo Afiadenyigba,aftermath,,2026-07-12,https://www.citinewsroom.com/2026/07/anlo-afiadenyigba-residents-raise-alarm-over-disease-risk-after-floods/,https://www.citinewsroom.com/wp-content/uploads/2026/07/anlo-2.jpeg,Citi Newsroom / Desmond Selase Aggor,permission_not_verified,False,,"{""content_type"": ""image/jpeg"", ""http_status"": 200, ""width"": 1242, ""height"": 697, ""sha256"": ""3597c06d6edf4e52a2000d86c4b75516ff8b8001a0258f1fcc2030bf7e800445"", ""bytes"": 210159, ""image_decoded"": true, ""dhash"": ""d8b0314700101db5""}",Location supported at article level; exact viewpoint not established. Cropped/resized copies must be deduplicated before gallery display.
AV-M-021,AV-GH-WETA-2026,"Weta, Ketu North",property_impact,,2026-07-16,https://www.myjoyonline.com/weta-rice-farming-community-hit-by-devastating-floods/,https://www.myjoyonline.com/wp-content/uploads/2026/07/image-1938.png,MyJoyOnline,permission_not_verified,False,,"{""content_type"": ""image/png"", ""http_status"": 200, ""width"": 810, ""height"": 1080, ""sha256"": ""94e64db834d17d0f11ebd863376371bffad18889aca0d489cda491dce126fe8d"", ""bytes"": 1065227, ""image_decoded"": true, ""dhash"": ""8383676e6f3e3438""}", Interior/supplies affected by water; article-level Weta association. Interior/supplies affected by water; article-level Weta association.
AV-M-022,AV-GH-WETA-2026,"Weta, Ketu North",incident_context,,2026-07-16,https://www.myjoyonline.com/weta-rice-farming-community-hit-by-devastating-floods/,https://www.myjoyonline.com/wp-content/uploads/2026/07/image-1937.png,MyJoyOnline,permission_not_verified,False,,"{""content_type"": ""image/png"", ""http_status"": 200, ""width"": 280, ""height"": 210, ""sha256"": ""144d3f7405e2e6061ac4d9f891114175340b86b2d9aa61d9899e4e672a26a932"", ""bytes"": 235870, ""image_decoded"": true, ""dhash"": ""2461dad7c943c0b8""}",Location supported at article level; exact viewpoint not established. Cropped/resized copies must be deduplicated before gallery display.
AV-M-023,AV-GH-WETA-2026,"Weta, Ketu North",incident_context,,2026-07-16,https://www.myjoyonline.com/weta-rice-farming-community-hit-by-devastating-floods/,https://www.myjoyonline.com/wp-content/uploads/2026/07/image-1936.png,MyJoyOnline,permission_not_verified,False,,"{""content_type"": ""image/png"", ""http_status"": 200, ""width"": 280, ""height"": 210, ""sha256"": ""f59880695f223a9122b7609cd8365475f93fbb3132019fc78491658770788873"", ""bytes"": 235870, ""image_decoded"": true, ""dhash"": ""408e0c80e0a00020""}",Location supported at article level; exact viewpoint not established. Cropped/resized copies must be deduplicated before gallery display.
AV-M-024,AV-GH-WETA-2026,"Weta, Ketu North",incident_context,,2026-07-16,https://www.myjoyonline.com/weta-rice-farming-community-hit-by-devastating-floods/,https://www.myjoyonline.com/wp-content/uploads/2026/07/image-1939.png,MyJoyOnline,permission_not_verified,False,,"{""content_type"": ""image/png"", ""http_status"": 200, ""width"": 234, ""height"": 312, ""sha256"": ""02d6e3b3c11f8ed01a0322b789d756cb84e80ad758358ea55d67828e7e076ec6"", ""bytes"": 292893, ""image_decoded"": true, ""dhash"": ""befefcfcfdfa3236""}",Location supported at article level; exact viewpoint not established. Cropped/resized copies must be deduplicated before gallery display.
AV-M-025,AV-GH-SAM-202606,Samreboi / Asankragwa,incident_context,,2026-06-19,https://www.citinewsroom.com/2026/06/over-24-buildings-collapse-in-samreboi-asankragwa-floods/,https://www.citinewsroom.com/wp-content/uploads/2026/06/samreboi-flood.webp,Daily Guide Network via Citi Newsroom,permission_not_verified,False,,"{""content_type"": ""image/webp"", ""http_status"": 200, ""width"": 750, ""height"": 406, ""sha256"": ""2fe24d46f4aaa23dfaa4264cd24740c01077242aa5ba218bf9c03f9d206b0e2c"", ""bytes"": 97854, ""image_decoded"": true, ""dhash"": ""5ad91868eaec3d0f""}",Photo credited to Daily Guide Network by publisher; capture date not established.
AV-M-026,AV-GH-CENT-202606,Central Region,incident_context,,2026-06-23,https://www.graphic.com.gh/news/general-news/ghana-news-floods-claim-18-lives-in-central-region-nadmo-orders-evacuation-of-unsafe-buildings.html,https://www.graphic.com.gh/images/2026/June/21/f0bd55be-bae0-4ab4-b5d3-b16bb553b034.jpeg,Graphic Online / Joana Kumi,permission_not_verified,False,,"{""content_type"": ""image/jpeg"", ""http_status"": 200, ""width"": 728, ""height"": 410, ""sha256"": ""c7cc3ed83d0ee94bee5227104a9432e7b8fd374fcce9d7d1a634b83d1146ce6e"", ""bytes"": 213342, ""image_decoded"": true, ""dhash"": ""144de87f283c0882""}",
AV-M-027,AV-GH-NP-20250805,Nsawam–Pokuase road,incident_context,2025-08-06,2025-08-06,https://www.myjoyonline.com/photos-nsawam-pokuase-road-flooded-after-tuesday-night-rain/,https://www.myjoyonline.com/wp-content/uploads/2025/08/OPOPO-1024x460.jpg,Channel One TV via MyJoyOnline,permission_not_verified,False,,"{""content_type"": ""image/jpeg"", ""http_status"": 200, ""width"": 1024, ""height"": 460, ""sha256"": ""d4e2841fcbfd8db5262d1f252be3b260d1eea417347b6b8644a203d3a92ab62e"", ""bytes"": 233960, ""image_decoded"": true, ""dhash"": ""33113c3c9e9e1bc0""}",Location supported at article level; exact viewpoint not established. Cropped/resized copies must be deduplicated before gallery display.
AV-M-028,AV-GH-NP-20250805,Nsawam–Pokuase road,incident_context,2025-08-06,2025-08-06,https://www.myjoyonline.com/photos-nsawam-pokuase-road-flooded-after-tuesday-night-rain/,https://www.myjoyonline.com/wp-content/uploads/2025/08/OPPOOP-1024x460.jpg,Channel One TV via MyJoyOnline,permission_not_verified,False,,"{""content_type"": ""image/jpeg"", ""http_status"": 200, ""width"": 1024, ""height"": 460, ""sha256"": ""8ac578950d82985b6caeaaa70ac08bc864c35e79b046f56da83edf4d34850af7"", ""bytes"": 243010, ""image_decoded"": true, ""dhash"": ""ccf6d2f85c999ec1""}",Location supported at article level; exact viewpoint not established. Cropped/resized copies must be deduplicated before gallery display.
AV-M-029,AV-GH-NP-20250805,Nsawam–Pokuase road,incident_context,2025-08-06,2025-08-06,https://www.myjoyonline.com/photos-nsawam-pokuase-road-flooded-after-tuesday-night-rain/,https://www.myjoyonline.com/wp-content/uploads/2025/08/opoppo-1-1024x455.jpg,Channel One TV via MyJoyOnline,permission_not_verified,False,,"{""content_type"": ""image/jpeg"", ""http_status"": 200, ""width"": 1024, ""height"": 455, ""sha256"": ""338105d9947c08305181ae55438bb11afe830372a9247a5ae6fc964ceedf4591"", ""bytes"": 261052, ""image_decoded"": true, ""dhash"": ""b1e1d8a8aa8393d2""}",Location supported at article level; exact viewpoint not established. Cropped/resized copies must be deduplicated before gallery display.
AV-M-030,AV-GH-NP-20250805,Nsawam–Pokuase road,incident_context,2025-08-06,2025-08-06,https://www.myjoyonline.com/photos-nsawam-pokuase-road-flooded-after-tuesday-night-rain/,https://www.myjoyonline.com/wp-content/uploads/2025/08/oppo-1024x459.jpg,Channel One TV via MyJoyOnline,permission_not_verified,False,,"{""content_type"": ""image/jpeg"", ""http_status"": 200, ""width"": 1024, ""height"": 459, ""sha256"": ""65f9d215e8d19bb01172d19edfe17807e3b7ee51ca04cd1a8dfe6748a5107cd2"", ""bytes"": 262671, ""image_decoded"": true, ""dhash"": ""4853c94b3030e0c1""}",Location supported at article level; exact viewpoint not established. Cropped/resized copies must be deduplicated before gallery display.
AV-M-031,AV-GH-NP-20250805,Nsawam–Pokuase road,incident_context,2025-08-06,2025-08-06,https://www.myjoyonline.com/photos-nsawam-pokuase-road-flooded-after-tuesday-night-rain/,https://www.myjoyonline.com/wp-content/uploads/2025/08/pkpl-1024x459.jpg,Channel One TV via MyJoyOnline,permission_not_verified,False,,"{""content_type"": ""image/jpeg"", ""http_status"": 200, ""width"": 1024, ""height"": 459, ""sha256"": ""96504593cbe12b8f4f0f200b077105b63b3eea2c19599130bdd81441db19a52d"", ""bytes"": 241914, ""image_decoded"": true, ""dhash"": ""8ce6e2e5e6b013e0""}",Location supported at article level; exact viewpoint not established. Cropped/resized copies must be deduplicated before gallery display.
AV-M-032,AV-GH-NP-20250805,Nsawam–Pokuase road,incident_context,2025-08-06,2025-08-06,https://www.myjoyonline.com/photos-nsawam-pokuase-road-flooded-after-tuesday-night-rain/,https://www.myjoyonline.com/wp-content/uploads/2025/08/OPO9IPI-1024x455.jpg,Channel One TV via MyJoyOnline,permission_not_verified,False,,"{""content_type"": ""image/jpeg"", ""http_status"": 200, ""width"": 1024, ""height"": 455, ""sha256"": ""d4dc4a300208da355368c86daadeb41473b9246f59de3948cbdcb2cf64cf4702"", ""bytes"": 244601, ""image_decoded"": true, ""dhash"": ""715e4f979bdbfc7c""}",Location supported at article level; exact viewpoint not established. Cropped/resized copies must be deduplicated before gallery display.
AV-M-033,AV-GH-NP-20250805,Nsawam–Pokuase road,incident_context,2025-08-06,2025-08-06,https://www.myjoyonline.com/photos-nsawam-pokuase-road-flooded-after-tuesday-night-rain/,https://www.myjoyonline.com/wp-content/uploads/2025/08/OPOPOPL-1024x455.jpg,Channel One TV via MyJoyOnline,permission_not_verified,False,,"{""content_type"": ""image/jpeg"", ""http_status"": 200, ""width"": 1024, ""height"": 455, ""sha256"": ""07507f0c5e445b8fc3b671ace7a2ce537ae9b6173f9d6a14a2e7dd915b81e817"", ""bytes"": 200533, ""image_decoded"": true, ""dhash"": ""9dffc64678d4d0c0""}",Location supported at article level; exact viewpoint not established. Cropped/resized copies must be deduplicated before gallery display.
AV-M-034,AV-GH-NP-20250805,Nsawam–Pokuase road,incident_context,2025-08-06,2025-08-06,https://www.myjoyonline.com/photos-nsawam-pokuase-road-flooded-after-tuesday-night-rain/,https://www.myjoyonline.com/wp-content/uploads/2025/08/OPOPOI.jpg,Channel One TV via MyJoyOnline,permission_not_verified,False,,"{""content_type"": ""image/jpeg"", ""http_status"": 200, ""width"": 1265, ""height"": 564, ""sha256"": ""386f1b645a95128da7501aea185cda6daa440a6429a0558a270af23331873488"", ""bytes"": 95073, ""image_decoded"": true, ""dhash"": ""8ce4d2e69af29bc0""}",
AV-M-036,AV-GH-BAGRE-2026,Daboya–Sisipe crossing / assessment visit,monitoring_river_view,,2026-09-04,https://www.myjoyonline.com/nadmo-intensifies-monitoring-in-daboya-as-bagre-dam-spillage-raises-flood-fears/,https://www.myjoyonline.com/wp-content/uploads/2026/09/image-542-1024x576.png,MyJoyOnline / Deborah Quarcoo,permission_not_verified,False,,"{""content_type"": ""image/png"", ""http_status"": 200, ""width"": 1024, ""height"": 576, ""sha256"": ""847271847f4275f2bf2d0c200bcaad8504d3325976ac27844d3cecb02f23d52d"", ""bytes"": 664644, ""image_decoded"": true, ""dhash"": ""e9f9e0d8f1b110f0""}","Location supported at article level; exact viewpoint not established. Cropped/resized copies must be deduplicated before gallery display. Aerial river/crossing view in monitoring story, not proof of a new inundation event. Aerial river/crossing view in monitoring story, not proof of a new inundation event."
AV-M-037,AV-GH-BAGRE-2026,Daboya–Sisipe crossing / assessment visit,monitoring_visit,,2026-09-04,https://www.myjoyonline.com/nadmo-intensifies-monitoring-in-daboya-as-bagre-dam-spillage-raises-flood-fears/,https://www.myjoyonline.com/wp-content/uploads/2026/09/image-543-1024x576.png,MyJoyOnline / Deborah Quarcoo,permission_not_verified,False,,"{""content_type"": ""image/png"", ""http_status"": 200, ""width"": 1024, ""height"": 576, ""sha256"": ""ed18dd25cd1d59a9fdd0118744b5369e767ae04ebe40f5710c929402818fc1fa"", ""bytes"": 1033334, ""image_decoded"": true, ""dhash"": ""a1a123372fcecc87""}",Location supported at article level; exact viewpoint not established. Cropped/resized copies must be deduplicated before gallery display. Canoe landing/assessment visit; no flood extent implied. Canoe landing/assessment visit; no flood extent implied.
AV-M-038,AV-GH-BAGRE-2026,Daboya–Sisipe crossing / assessment visit,monitoring_visit,,2026-09-04,https://www.myjoyonline.com/nadmo-intensifies-monitoring-in-daboya-as-bagre-dam-spillage-raises-flood-fears/,https://www.myjoyonline.com/wp-content/uploads/2026/09/image-544-1024x577.png,MyJoyOnline / Deborah Quarcoo,permission_not_verified,False,,"{""content_type"": ""image/png"", ""http_status"": 200, ""width"": 1024, ""height"": 577, ""sha256"": ""061df370365be191b07423a82c2502b6a6576ca4a6070543d7a74e6d4dca7e5b"", ""bytes"": 822857, ""image_decoded"": true, ""dhash"": ""5dada464705965a6""}",Location supported at article level; exact viewpoint not established. Cropped/resized copies must be deduplicated before gallery display. Officials at monitoring visit. Officials at monitoring visit.
AV-M-039,AV-GH-BAGRE-2026,Daboya–Sisipe crossing / assessment visit,monitoring_visit,,2026-09-04,https://www.myjoyonline.com/nadmo-intensifies-monitoring-in-daboya-as-bagre-dam-spillage-raises-flood-fears/,https://www.myjoyonline.com/wp-content/uploads/2026/09/image-546-1024x577.png,MyJoyOnline / Deborah Quarcoo,permission_not_verified,False,,"{""content_type"": ""image/png"", ""http_status"": 200, ""width"": 1024, ""height"": 577, ""sha256"": ""3341be93142661453ea1c72a7769202e83aa5d96e77d02763ba31b98775f5527"", ""bytes"": 847595, ""image_decoded"": true, ""dhash"": ""6c4464441858e0e0""}",Location supported at article level; exact viewpoint not established. Cropped/resized copies must be deduplicated before gallery display. Group at assessment location. Group at assessment location.
AV-M-040,AV-GH-ACC-20260629,Accra,incident_context,,2026-07-03,https://www.greenpeace.org/africa/en/blog/61137/ghanas-deadly-floods-are-not-a-natural-disaster-theyre-a-wake-up-call/,https://www.greenpeace.org/static/planet4-africa-stateless/2026/07/0b5e5f31-photo-2026-06-29-00-38-54.jpg,Greenpeace Africa / Sam Quashie-Idun,permission_not_verified,False,,"{""content_type"": ""image/jpeg"", ""http_status"": 200, ""width"": 1280, ""height"": 591, ""sha256"": ""7c9ffc893123dd4b8300e0576a547820109081e0b6409442d3a9536558d6456d"", ""bytes"": 123217, ""image_decoded"": true, ""dhash"": ""7871675bf1f3e3f3""}",Family account; exact neighbourhood not published. Startup/commercial reuse needs permission under Greenpeace terms.
